delivery_hour,price,supply_mwh,demand_mwh,source_endpoint
2026-06-01 00:00:00+03:00,99.99,14128.5,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,100.0,14148.5,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,100.01,14150.2,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,100.1,14150.2,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,120.0,14150.72,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,120.01,14150.72,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,128.0,14150.93,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,128.01,14189.93,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,139.99,14190.24,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,140.0,14190.24,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,149.99,14190.5,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,150.0,14242.5,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,161.0,14242.79,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,161.01,14242.79,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,164.99,14242.89,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,165.0,14263.39,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,166.99,14263.44,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,167.0,14282.44,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
