date,hour,systemMarginalPrice
2020-01-04T11:00:00+03:00,2020-01-04T11:00:00+03:00,375.01
2020-01-04T12:00:00+03:00,2020-01-04T12:00:00+03:00,381.46
2020-01-04T13:00:00+03:00,2020-01-04T13:00:00+03:00,371.65
2020-01-04T14:00:00+03:00,2020-01-04T14:00:00+03:00,359.99
2020-01-04T15:00:00+03:00,2020-01-04T15:00:00+03:00,336.25
2020-01-04T16:00:00+03:00,2020-01-04T16:00:00+03:00,290.0
2020-01-04T17:00:00+03:00,2020-01-04T17:00:00+03:00,260.01
2020-01-04T18:00:00+03:00,2020-01-04T18:00:00+03:00,286.0
2020-01-04T19:00:00+03:00,2020-01-04T19:00:00+03:00,342.63
2020-01-04T20:00:00+03:00,2020-01-04T20:00:00+03:00,260.01
2020-01-04T21:00:00+03:00,2020-01-04T21:00:00+03:00,336.05
2020-01-04T22:00:00+03:00,2020-01-04T22:00:00+03:00,331.96
2020-01-04T23:00:00+03:00,2020-01-04T23:00:00+03:00,332.28
2020-01-05T00:00:00+03:00,2020-01-05T00:00:00+03:00,323.52
2020-01-05T01:00:00+03:00,2020-01-05T01:00:00+03:00,323.38
2020-01-05T02:00:00+03:00,2020-01-05T02:00:00+03:00,320.57
2020-01-05T03:00:00+03:00,2020-01-05T03:00:00+03:00,280.01
2020-01-05T04:00:00+03:00,2020-01-05T04:00:00+03:00,221.35
2020-01-05T05:00:00+03:00,2020-01-05T05:00:00+03:00,249.99
2020-01-05T06:00:00+03:00,2020-01-05T06:00:00+03:00,279.56
2020-01-05T07:00:00+03:00,2020-01-05T07:00:00+03:00,344.94
2020-01-05T08:00:00+03:00,2020-01-05T08:00:00+03:00,280.0
2020-01-05T09:00:00+03:00,2020-01-05T09:00:00+03:00,250.0
2020-01-05T10:00:00+03:00,2020-01-05T10:00:00+03:00,359.99
2020-01-05T11:00:00+03:00,2020-01-05T11:00:00+03:00,353.9
2020-01-05T12:00:00+03:00,2020-01-05T12:00:00+03:00,363.6
2020-01-05T13:00:00+03:00,2020-01-05T13:00:00+03:00,364.39
