delivery_hour,mcpPrice,matchingQuantity,reconstructed_clearing_price,reconstructed_clearing_volume,reconstruction_price_error,reconstruction_volume_error,slope_near_clearing,elasticity_near_clearing,curve_fragility_score,volume_needed_for_100TL_move,volume_needed_for_500TL_move,oversupply_pressure,cap_risk_score,zero_pressure_from_curve,spike_pressure_from_curve,supply_points,demand_points,status,supply_status,ptf_status,raw_dir
2026-06-01T00:00:00+03:00,456.0,16438.9,449.5218048780488,16426.443066847336,-6.478195121951217,-12.456933152665442,0.3385416666666667,1.0416666666666667,1.3802083333333335,186.42200905487698,514.36373684313,0.0,0.0,0.0,0.0,534,184,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T01:00:00+03:00,350.0,16324.199999999995,350.0018542829012,16324.195372497512,0.0018542829012062612,-0.00462750248334487,5590.5000000051505,190.00000000013642,5780.500000005287,250.50467703261347,678.4037288774216,0.0,0.0,0.0,0.0,532,184,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T02:00:00+03:00,322.99,16204.09999999999,320.0090165441176,16198.10166896349,-2.980983455882381,-5.998331036498712,27.860000000000582,0.0,27.860000000000582,521.0190825313857,1006.2974124015509,0.0,0.0,0.0,0.0,560,160,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T03:00:00+03:00,340.0,16079.80000000001,339.99469230769233,16075.606416398039,-0.0053076923076673665,-4.193583601971113,13.160000000000219,0.8399999999997817,14.0,390.4792242933927,1013.9975826782957,0.0,0.0,0.0,0.0,586,160,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T04:00:00+03:00,349.68,16179.099999999997,349.67391346153846,16167.27950274722,-0.006086538461545388,-11.820497252776477,31.113095238095372,0.0,31.113095238095372,316.89301830115437,938.8662809944508,0.0,0.0,0.0,0.0,586,162,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T05:00:00+03:00,327.0,16224.599999999999,324.99747126436785,16220.135607819557,-2.002528735632154,-4.464392180441791,8.815920398010569,0.0,8.815920398010569,431.2479666500931,1034.5966579099677,0.0,0.0,0.0,0.0,586,196,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T06:00:00+03:00,200.0,16333.30000000001,199.99247586832772,16316.95156440246,-0.007524131672283829,-16.348435597550633,123.05050505050546,66.86868686868515,189.9191919191906,757.4437175145813,2025.818764128193,0.0,0.0,0.0,0.0,587,173,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T07:00:00+03:00,169.9,16643.700000000004,169.9013633744856,16652.152921810637,0.0013633744856065277,8.452921810632688,1694.5454545456955,1680.2727272729358,3374.8181818186313,1296.5460918229765,2636.8460904118656,1.5948235292137745e-14,0.0,0.0,0.0,588,246,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T08:00:00+03:00,169.01,18379.199999999993,166.9928411764706,18379.22368065131,-2.0171588235293996,0.02368065131668118,8.5099999999984,24.299999999999272,32.80999999999767,1370.1699284117713,2745.2698853909023,0.0,0.0,0.0,0.0,520,184,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T09:00:00+03:00,45.0,18953.99999999998,45.00404528283956,18954.0159547172,0.004045282839562958,0.01595471721884678,84.19000000000014,0.5260000000002037,84.71600000000035,393.8341358261314,3390.13408573559,4.222616143577676e-15,0.0,0.05759536436131263,0.0,519,182,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T10:00:00+03:00,0.0,19692.60000000001,0.0,19704.05,0.0,11.449999999989814,420.00000000007276,0.9999999998399289,420.9999999999127,940.9000000000015,3959.7999999999993,0.0013144505824945357,0.0,0.0013144505824945357,0.0,520,165,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T11:00:00+03:00,55.0,20681.700000000004,55.00435864783515,20673.432316315528,0.004358647835147167,-8.267683684476651,86.39000000000014,0.0,86.39000000000014,439.95004358643564,3543.6499639798967,0.0,0.0,0.0,0.0,518,187,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T12:00:00+03:00,0.0,19960.500000000007,0.0,20297.05,0.0,336.549999999992,420.00000000007276,150.0,570.0000000000728,955.5,4112.9000000000015,0.033310259372667385,0.0,0.033310259372667385,0.0,578,184,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T13:00:00+03:00,60.0,20637.99999999999,60.003507720672964,20628.665848198478,0.0035077206729638988,-9.334151801511325,86.79000000000015,0.0,86.79000000000015,485.40003507727306,3688.599975883757,0.0,0.0,0.0,0.0,579,145,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T14:00:00+03:00,171.01,20600.19999999999,171.00688348151613,20600.244127281243,-0.0031165184838641835,0.044127281253167894,242.27000000000044,282.1000000000022,524.3700000000026,1529.6659415538488,3050.3658748944326,0.0,0.0,0.0,0.0,519,187,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T15:00:00+03:00,199.99,20656.19999999999,199.99269737141816,20637.027453490853,0.0026973714181508512,-19.172546509136737,222.3232323232288,0.0,222.3232323232288,1075.893476379224,2705.9736868481414,0.0,0.0,0.0,0.0,520,162,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T16:00:00+03:00,343.0,20896.70000000001,341.4194882352941,20897.12124257352,-1.580511764705875,0.42124257350951666,10.96835443037866,0.0,10.96835443037866,325.27676308178343,1162.7000000000153,0.0,0.0,0.0,0.0,561,158,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T17:00:00+03:00,1500.0,21701.300000000003,1499.996735074627,21700.10220382482,-0.0032649253730596683,-1.197796175183612,2680.0000000023647,0.0,2680.0000000023647,17.75999183730164,35.6999999996151,0.0,0.0,0.0,0.0,716,169,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T18:00:00+03:00,4300.0,22145.899999999972,4300.001123076923,22104.70221901369,0.001123076923249755,-41.19778098628376,23.255980007140177,0.0,23.255980007140177,607.6153846064844,677.3999999903572,0.0,1.0,0.0,0.11627990003570089,464,289,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T19:00:00+03:00,4400.01,30700.900000000027,4400.008788242351,30700.89999999902,-0.0012117576488890336,-1.0077201295644045e-09,1.466285714285706,0.0,1.466285714285706,35.2000000019616,35.2000000019616,0.0,1.0,0.0,0.00733142857142853,435,726,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T20:00:00+03:00,4500.0,30886.4,4500.0,31027.5,0.0,141.09999999999854,39.999999999272404,0.0,39.999999999272404,0.0,0.0,0.0,1.0,0.0,0.19999999999636203,437,438,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T21:00:00+03:00,4300.01,30490.69999999999,4300.008633676471,30479.100819709824,-0.0013663235295098275,-11.59918029016626,21.33750000000009,0.0,21.33750000000009,189.82701603371243,225.80000000464497,0.0,1.0,0.0,0.10668750000000045,435,438,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T22:00:00+03:00,4099.99,27323.900000000027,3999.997192,27293.50677465331,-99.99280799999997,-30.393225346717372,3149.999999931242,0.0,3149.999999931242,174.7603999981293,1297.699982717655,0.0,0.6249964899999998,0.0,0.9999988767999999,450,346,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
2026-06-01T23:00:00+03:00,4500.0,25832.099999999966,4500.0,25941.65,0.0,109.55000000003565,0.004000400039982179,0.0,0.004000400039982179,0.0,0.0,0.0,1.0,0.0,2.0002000199910898e-05,689,238,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-06-01_2026-06-07/2026-06-01
