delivery_hour,mcpPrice,matchingQuantity,reconstructed_clearing_price,reconstructed_clearing_volume,reconstruction_price_error,reconstruction_volume_error,slope_near_clearing,elasticity_near_clearing,curve_fragility_score,volume_needed_for_100TL_move,volume_needed_for_500TL_move,oversupply_pressure,cap_risk_score,zero_pressure_from_curve,spike_pressure_from_curve,supply_points,demand_points,status,supply_status,ptf_status,raw_dir
2026-05-18T00:00:00+03:00,300.01,16615.899999999998,300.0075050200803,16610.90211530908,-0.0024949799196747335,-4.997884690917999,199.22999999999956,55.60000000000218,254.83000000000175,552.2425351405291,1257.1665261043854,0.0,0.0,0.0,0.0,422,216,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T01:00:00+03:00,205.01,16770.600000000006,203.3851989389923,16770.139074270555,-1.6248010610077017,-0.4609257294505369,0.3,7.239999999999418,7.539999999999417,731.1714627363763,1662.0205577721354,0.0,0.0,0.0,0.0,419,214,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T02:00:00+03:00,199.01,16638.400000000012,198.47870329309353,16604.309866141084,-0.5312967069064598,-34.09013385892831,14.2596491228067,85.0526315789472,99.3122807017539,688.7267746963444,1948.7612025876479,0.0,0.0,0.0,0.0,434,212,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T03:00:00+03:00,199.99,16386.900000000005,199.99297256097563,16381.981276946384,0.0029725609756212634,-4.918723053620852,132.92929292929023,23.131313131312552,156.06060606060277,747.1001524393814,2010.3799999998137,0.0,0.0,0.0,0.0,433,212,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T04:00:00+03:00,194.5,16574.9,190.00526381909546,16564.3866593784,-4.494736180904539,-10.513340621600946,8.419999999999709,7.9,16.31999999999971,858.2419845470977,2178.010138975231,0.0,0.0,0.0,0.0,433,212,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T05:00:00+03:00,198.86,16687.7,196.35160583941607,16665.057466844864,-2.508394160583947,-22.642533155136334,0.3999999999997966,67.85964912280767,68.25964912280746,833.1252812536004,2139.683051053151,0.0,0.0,0.0,0.0,433,214,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T06:00:00+03:00,170.0,16530.400000000005,170.00355929171883,16530.39120372026,0.003559291718829627,-0.008796279744274216,3900.5000000034674,355.0000000002501,4255.500000003718,1336.009864067255,2685.598796279741,0.0,0.0,0.0,0.0,434,212,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T07:00:00+03:00,169.91,16364.600000000008,169.90886064921784,16387.556025150472,-0.0011393507821537696,22.956025150464484,688.8888888888425,2244.7777777776796,2933.6666666665224,1674.5166330441243,3118.5324775600275,2.020167442523243e-14,0.0,0.0,0.0,435,211,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T08:00:00+03:00,171.0,16747.100000000002,171.00367298881,16747.1955247257,0.0036729888099955588,0.09552472569703241,13980.500000012744,19655.500000017724,33636.00000003047,1494.4055771706699,2890.810778032148,3.2801599471374543e-14,0.0,0.0,0.0,442,188,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T09:00:00+03:00,150.0,17593.799999999996,149.99704390243903,17586.573448275878,-0.0029560975609683737,-7.2265517241175985,7.47411444141698,1.861943687556768,9.336058128973747,2104.3596292682705,3566.169880561676,0.0,0.0,0.0,0.0,441,151,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
