delivery_hour,hour_of_day,mcpPrice,pred_raw,pred_kalman,err_raw,err_kalman
2026-06-01T00:00:00+03:00,0,456.0,449.5218048780488,450.1550956594998,-6.478195121951217,-5.844904340500193
2026-06-01T01:00:00+03:00,1,350.0,350.0018542829012,350.4190322646449,0.0018542829012062612,0.4190322646448976
2026-06-01T02:00:00+03:00,2,322.99,320.0090165441176,320.39377928521156,-2.980983455882381,-2.596220714788444
2026-06-01T03:00:00+03:00,3,340.0,339.99469230769233,340.1458138004064,-0.0053076923076673665,0.14581380040641534
2026-06-01T04:00:00+03:00,4,349.68,349.67391346153846,349.7697049989743,-0.006086538461545388,0.08970499897429818
2026-06-01T05:00:00+03:00,5,327.0,324.99747126436785,325.01716786469535,-2.002528735632154,-1.9828321353046476
2026-06-01T06:00:00+03:00,6,200.0,199.99247586832772,202.58269065396573,-0.007524131672283829,2.5826906539657273
2026-06-01T07:00:00+03:00,7,169.9,169.9013633744856,169.90159616713373,0.0013633744856065277,0.001596167133726567
2026-06-01T08:00:00+03:00,8,169.01,166.9928411764706,167.05592096969113,-2.0171588235293996,-1.9540790303088613
2026-06-01T09:00:00+03:00,9,45.0,45.00404528283956,45.004013767325944,0.004045282839562958,0.004013767325943718
2026-06-01T10:00:00+03:00,10,0.0,0.0,0.05448188603852096,0.0,0.05448188603852096
2026-06-01T11:00:00+03:00,11,55.0,55.00435864783515,55.00433960474301,0.004358647835147167,0.004339604743009318
2026-06-01T12:00:00+03:00,12,0.0,0.0,0.015570127219698441,0.0,0.015570127219698441
2026-06-01T13:00:00+03:00,13,60.0,60.003507720672964,60.00349957245809,0.0035077206729638988,0.003499572458089517
2026-06-01T14:00:00+03:00,14,171.01,171.00688348151613,171.00694147068666,-0.0031165184838641835,-0.0030585293133356117
2026-06-01T15:00:00+03:00,15,199.99,199.99269737141816,200.19557322617302,0.0026973714181508512,0.20557322617301566
2026-06-01T16:00:00+03:00,16,343.0,341.4194882352941,341.43714362351295,-1.580511764705875,-1.5628563764870478
2026-06-01T17:00:00+03:00,17,1500.0,1499.996735074627,1500.440892853426,-0.0032649253730596683,0.44089285342602125
2026-06-01T18:00:00+03:00,18,4300.0,4300.001123076923,4300.110588397665,0.001123076923249755,0.11058839766519668
2026-06-01T19:00:00+03:00,19,4400.01,4400.008788242351,4408.241167021,-0.0012117576488890336,8.231167021000147
2026-06-01T20:00:00+03:00,20,4500.0,4500.0,4500.010151650724,0.0,0.01015165072385571
2026-06-01T21:00:00+03:00,21,4300.01,4300.008633676471,4301.165528170164,-0.0013663235295098275,1.1555281701639615
2026-06-01T22:00:00+03:00,22,4099.99,3999.997192,4008.1014452232616,-99.99280799999997,-91.88855477673815
2026-06-01T23:00:00+03:00,23,4500.0,4500.0,4507.51613425056,0.0,7.516134250559844
